chestcircumference,biacromialbreadth,weightkg,stature,t-shirt size
91.8,39.2,583,1657,S
111.2,42.2,919,1758,XL
104.2,38.5,745,1691,L
93.0,39.7,634,1737,S
86.6,36.4,565,1662,XS
110.7,43.6,995,1807,XL
92.3,42.0,694,1831,S
89.2,40.3,578,1693,S
110.7,40.4,952,1747,XL
128.0,48.2,1258,1871,3XL
99.4,40.9,729,1763,M
110.8,41.5,864,1687,XL
104.6,40.0,795,1659,L
98.8,38.2,737,1690,M
97.1,41.8,722,1769,M
97.3,40.5,695,1735,M
124.9,45.1,1189,1844,3XL
116.2,43.7,1251,1890,2XL
85.6,37.6,600,1689,XS
128.5,41.6,1337,1937,3XL
110.2,43.1,1012,1822,XL
104.1,43.2,920,1742,L
110.8,41.5,1044,1773,XL
110.7,40.3,884,1683,XL
117.0,41.0,951,1763,2XL
97.8,40.5,771,1708,M
99.7,43.0,734,1714,M
116.4,42.1,951,1748,2XL
86.1,40.2,587,1734,XS
105.6,41.6,921,1784,L
111.9,42.3,761,1754,XL
117.2,43.6,1052,1830,2XL
111.7,39.7,857,1676,XL
99.0,41.7,749,1694,M
110.2,40.5,916,1779,XL
93.8,40.9,682,1694,S
97.5,41.4,672,1696,M
96.8,43.9,744,1835,M
110.6,36.8,873,1570,L
116.2,40.5,974,1652,2XL
91.8,40.4,699,1733,S
97.3,39.9,768,1722,M
111.8,41.0,882,1758,XL
116.1,41.4,980,1717,2XL
111.5,42.1,919,1717,XL
110.7,41.2,1046,1794,XL
98.9,38.0,639,1568,M
99.5,40.7,752,1723,M
110.8,41.0,822,1760,XL
98.0,40.2,737,1714,M
105.7,40.4,890,1731,L
93.9,41.3,662,1724,S
91.4,38.7,616,1638,S
91.3,38.8,585,1649,S
104.6,38.1,809,1719,L
128.4,44.4,1189,1773,3XL
110.3,43.6,944,1814,XL
104.7,44.6,883,1884,L
116.4,41.9,1005,1811,2XL
93.2,39.7,705,1604,S
97.5,40.2,707,1732,M
87.9,38.3,623,1792,S
105.4,44.6,997,1867,L
105.9,43.0,851,1825,L
99.9,41.3,812,1808,M
110.4,40.3,972,1789,XL
93.9,40.3,737,1754,S
104.2,43.9,847,1897,L
85.5,41.0,609,1772,XS
89.5,40.3,618,1764,S
105.9,42.3,852,1820,L
91.0,38.0,631,1680,S
91.5,40.6,621,1790,S
99.5,39.3,743,1689,M
105.6,41.2,866,1845,L
105.0,42.0,728,1638,L
98.4,39.5,731,1646,M
89.5,40.8,720,1853,S
110.6,41.7,882,1703,XL
125.6,42.2,1065,1684,3XL
93.7,40.5,659,1642,S
92.5,39.3,734,1761,S
92.6,39.9,621,1726,S
