chestcircumference,biacromialbreadth,chest_size,shoulder_size,result
1164,418,XL,L,conflict
979,425,S,L,conflict
1299,437,XXXL,XL,conflict
855,392,XS,S,conflict
1121,408,XL,M,conflict
1002,448,M,XXL,conflict
1213,472,XXL,XXXL,conflict
1100,439,L,XL,conflict
1047,399,M,S,conflict
1106,419,L,L,match
952,374,S,XS,conflict
1045,411,M,M,match
996,427,S,L,conflict
1077,436,L,XL,conflict
1129,418,XL,L,conflict
1154,447,XL,XXL,conflict
993,406,S,M,conflict
1219,449,XXL,XXL,match
1006,409,M,M,match
1116,427,L,L,match
962,419,S,L,conflict
1145,432,XL,XL,match
1189,427,XXL,L,conflict
931,426,S,L,conflict
1143,436,XL,XL,match
1108,420,L,L,match
1133,434,XL,XL,match
1015,379,M,XS,conflict
991,398,S,S,match
1121,400,XL,S,conflict
1153,432,XL,XL,match
1062,424,L,L,match
1053,422,M,L,conflict
1069,412,L,M,conflict
1098,403,L,S,conflict
1125,414,XL,M,conflict
1147,427,XL,L,conflict
1046,399,M,S,conflict
1006,414,M,M,match
1064,423,L,L,match
897,387,XS,S,conflict
1218,429,XXL,XL,conflict
1159,435,XL,XL,match
1068,422,L,L,match
1031,420,M,L,conflict
1116,417,L,L,match
922,415,XS,M,conflict
1063,421,L,L,match
1048,431,M,XL,conflict
939,415,S,M,conflict
1018,396,M,S,conflict
978,413,S,M,conflict
1093,429,L,XL,conflict
1026,417,M,L,conflict
920,411,XS,M,conflict
993,421,S,L,conflict
1213,436,XXL,XL,conflict
1124,418,XL,L,conflict
1255,478,XXXL,XXXL,match
1193,441,XXL,XL,conflict
1026,408,M,M,match
943,394,S,S,match
1042,430,M,XL,conflict
1115,397,L,S,conflict
848,355,XS,XS,match
