chestcircumference,biacromialbreadth,chest_size,shoulder_size,result
880,360,S,M,conflict
980,389,L,XL,conflict
936,343,M,S,conflict
882,366,S,L,conflict
934,374,M,L,conflict
1021,354,XL,M,conflict
887,365,S,M,conflict
900,362,M,M,match
1035,397,XL,XXL,conflict
1013,350,XL,S,conflict
1100,365,XXL,M,conflict
981,353,L,S,conflict
1095,360,XXL,M,conflict
985,368,L,L,match
884,343,S,S,match
1030,366,XL,L,conflict
1012,358,XL,M,conflict
890,361,M,M,match
878,413,S,XXXL,conflict
1028,354,XL,M,conflict
825,372,S,L,conflict
1041,376,XL,L,conflict
1023,365,XL,M,conflict
949,378,L,L,match
914,346,M,S,conflict
1111,375,XXL,L,conflict
855,359,S,M,conflict
1015,363,XL,M,conflict
929,379,M,XL,conflict
925,316,M,XS,conflict
1129,356,XXXL,M,conflict
1008,351,XL,S,conflict
845,331,S,XS,conflict
1039,327,XL,XS,conflict
902,368,M,L,conflict
948,337,L,S,conflict
1051,386,XL,XL,match
1003,390,XL,XXL,conflict
882,360,S,M,conflict
1056,356,XL,M,conflict
965,366,L,L,match
932,387,M,XL,conflict
1051,398,XL,XXL,conflict
850,366,S,L,conflict
830,332,S,XS,conflict
889,379,S,XL,conflict
1005,367,XL,L,conflict
925,338,M,S,conflict
844,356,S,M,conflict
900,342,M,S,conflict
954,365,L,M,conflict
925,361,M,M,match
902,343,M,S,conflict
947,359,L,M,conflict
944,344,L,S,conflict
899,363,M,M,match
1033,351,XL,S,conflict
900,365,M,M,match
996,410,L,XXXL,conflict
906,338,M,S,conflict
896,346,M,S,conflict
876,362,S,M,conflict
955,338,L,S,conflict
912,343,M,S,conflict
1160,388,XXXL,XL,conflict
844,368,S,L,conflict
948,349,L,S,conflict
928,400,M,XXL,conflict
1042,372,XL,L,conflict
906,377,M,L,conflict
776,318,XS,XS,match
872,389,S,XL,conflict
1005,373,XL,L,conflict
1055,363,XL,M,conflict
1006,361,XL,M,conflict
953,372,L,L,match
935,348,M,S,conflict
895,346,M,S,conflict
992,388,L,XL,conflict
900,322,M,XS,conflict
953,340,L,S,conflict
971,403,L,XXXL,conflict
990,330,L,XS,conflict
873,366,S,L,conflict
852,339,S,S,match
1039,367,XL,L,conflict
992,372,L,L,match
970,374,L,L,match
936,378,M,L,conflict
882,352,S,S,match
